"","序號","地點","口採樣點","鼻採樣點","輪候人數","等候時間","類別","Location"
"1","A01","街坊會聯合總會社區服務大樓街坊會聯合總會社區服務大樓口採樣點: 25鼻採樣點: 38輪候人數:67人等候時間:<U+2B24>1分鐘類別: (A) 關愛專站（無需預約）",25,38,"67人","<U+2B24>1分鐘","A","街坊會聯合總會社區服務大樓"
"2","A02","慈幼中學慈幼中學口採樣點: 1鼻採樣點: 1輪候人數:72人等候時間:<U+2B24>36分鐘類別: (A) 關愛專站（無需預約）",1,1,"72人","<U+2B24>36分鐘","A","慈幼中學"
"3","A03","望廈體育中心三樓望廈體育中心三樓口採樣點: 2鼻採樣點: 1輪候人數:60人等候時間:<U+2B24>20分鐘類別: (A) 關愛專站（無需預約）",2,1,"60人","<U+2B24>20分鐘","A","望廈體育中心三樓"
"4","A04","塔石體育館B館塔石體育館B館口採樣點: 1鼻採樣點: 1輪候人數:110人等候時間:<U+2B24>55分鐘類別: (A) 關愛專站（無需預約）",1,1,"110人","<U+2B24>55分鐘","A","塔石體育館B館"
"5","A05","澳門坊眾學校澳門坊眾學校口採樣點: 2鼻採樣點: 2輪候人數:5人等候時間:<U+2B24>1分鐘類別: (A) 關愛專站（無需預約）",2,2,"5人","<U+2B24>1分鐘","A","澳門坊眾學校"
"6","A06","奧林匹克體育中心運動場乒乓球室奧林匹克體育中心運動場乒乓球室口採樣點: 1鼻採樣點: 1輪候人數:16人等候時間:<U+2B24>8分鐘類別: (A) 關愛專站（無需預約）",1,1,"16人","<U+2B24>8分鐘","A","奧林匹克體育中心運動場乒乓球室"
"7","A07","石排灣公立學校石排灣公立學校口採樣點: 1鼻採樣點: 1輪候人數:5人等候時間:<U+2B24>3分鐘類別: (A) 關愛專站（無需預約）",1,1,"5人","<U+2B24>3分鐘","A","石排灣公立學校"
"8","B01","聖若瑟教區中學第六校聖若瑟教區中學第六校口採樣點: 4鼻採樣點: 2輪候人數:120人等候時間:<U+2B24>20分鐘類別: (B) 一般市民採樣站（需預約）",4,2,"120人","<U+2B24>20分鐘","B","聖若瑟教區中學第六校"
"9","B02","青洲坊活動中心青洲坊活動中心口採樣點: 1鼻採樣點: 1輪候人數:94人等候時間:<U+2B24>47分鐘類別: (B) 一般市民採樣站（需預約）",1,1,"94人","<U+2B24>47分鐘","B","青洲坊活動中心"
"10","B03","鄭觀應公立學校鄭觀應公立學校口採樣點: 3鼻採樣點: 2輪候人數:75人等候時間:<U+2B24>15分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"75人","<U+2B24>15分鐘","B","鄭觀應公立學校"
"11","B04","工人體育場工人體育場口採樣點: 5鼻採樣點: 5輪候人數:43人等候時間:<U+2B24>4分鐘類別: (B) 一般市民採樣站（需預約）",5,5,"43人","<U+2B24>4分鐘","B","工人體育場"
"12","B05","鏡平學校（中學部）鏡平學校（中學部）口採樣點: 4鼻採樣點: 4輪候人數:170人等候時間:<U+2B24>21分鐘類別: (B) 一般市民採樣站（需預約）",4,4,"170人","<U+2B24>21分鐘","B","鏡平學校（中學部）"
"13","B06","中葡職業技術學校體育館中葡職業技術學校體育館口採樣點: 5鼻採樣點: 2輪候人數:182人等候時間:<U+2B24>26分鐘類別: (B) 一般市民採樣站（需預約）",5,2,"182人","<U+2B24>26分鐘","B","中葡職業技術學校體育館"
"14","B07","健康生活教育園地健康生活教育園地口採樣點: 2鼻採樣點: 2輪候人數:220人等候時間:<U+2B24>55分鐘類別: (B) 一般市民採樣站（需預約）",2,2,"220人","<U+2B24>55分鐘","B","健康生活教育園地"
"15","B08","鮑思高粵華小學鮑思高粵華小學口採樣點: 3鼻採樣點: 4輪候人數:385人等候時間:<U+2B24>55分鐘類別: (B) 一般市民採樣站（需預約）",3,4,"385人","<U+2B24>55分鐘","B","鮑思高粵華小學"
"16","B09","望廈體育中心1樓望廈體育中心1樓口採樣點: 3鼻採樣點: 4輪候人數:180人等候時間:<U+2B24>26分鐘類別: (B) 一般市民採樣站（需預約）",3,4,"180人","<U+2B24>26分鐘","B","望廈體育中心1樓"
"17","B10","廣大中學 廣大中學 口採樣點: 2鼻採樣點: 2輪候人數:100人等候時間:<U+2B24>25分鐘類別: (B) 一般市民採樣站（需預約）",2,2,"100人","<U+2B24>25分鐘","B","廣大中學"
"18","B11","勞校中學附屬幼稚園勞校中學附屬幼稚園口採樣點: 2鼻採樣點: 3輪候人數:260人等候時間:<U+2B24>52分鐘類別: (B) 一般市民採樣站（需預約）",2,3,"260人","<U+2B24>52分鐘","B","勞校中學附屬幼稚園"
"19","B12","婦女聯合總會綜合服務大樓婦女聯合總會綜合服務大樓口採樣點: 2鼻採樣點: 2輪候人數:85人等候時間:<U+2B24>21分鐘類別: (B) 一般市民採樣站（需預約）",2,2,"85人","<U+2B24>21分鐘","B","婦女聯合總會綜合服務大樓"
"20","B13","鏡湖醫院禮堂鏡湖醫院禮堂口採樣點: 4鼻採樣點: 4輪候人數:70人等候時間:<U+2B24>9分鐘類別: (B) 一般市民採樣站（需預約）",4,4,"70人","<U+2B24>9分鐘","B","鏡湖醫院禮堂"
"21","B14","沙梨頭活動中心沙梨頭活動中心口採樣點: 3鼻採樣點: 2輪候人數:110人等候時間:<U+2B24>22分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"110人","<U+2B24>22分鐘","B","沙梨頭活動中心"
"22","B15","培正中學培正中學口採樣點: 2鼻採樣點: 4輪候人數:175人等候時間:<U+2B24>29分鐘類別: (B) 一般市民採樣站（需預約）",2,4,"175人","<U+2B24>29分鐘","B","培正中學"
"23","B16","塔石體育館A館塔石體育館A館口採樣點: 4鼻採樣點: 3輪候人數:543人等候時間:<U+2B24>78分鐘類別: (B) 一般市民採樣站（需預約）",4,3,"543人","<U+2B24>78分鐘","B","塔石體育館A館"
"24","B17","澳門理工學院懷遠樓展覽廳澳門理工學院懷遠樓展覽廳口採樣點: 5鼻採樣點: 4輪候人數:150人等候時間:<U+2B24>17分鐘類別: (B) 一般市民採樣站（需預約）",5,4,"150人","<U+2B24>17分鐘","B","澳門理工學院懷遠樓展覽廳"
"25","B18","澳門文化中心澳門文化中心口採樣點: 3鼻採樣點: 3輪候人數:520人等候時間:<U+2B24>87分鐘類別: (B) 一般市民採樣站（需預約）",3,3,"520人","<U+2B24>87分鐘","B","澳門文化中心"
"26","B19","利瑪竇中學利瑪竇中學口採樣點: 4鼻採樣點: 4輪候人數:80人等候時間:<U+2B24>10分鐘類別: (B) 一般市民採樣站（需預約）",4,4,"80人","<U+2B24>10分鐘","B","利瑪竇中學"
"27","B20","聖若瑟教區中學第二校聖若瑟教區中學第二校口採樣點: 1鼻採樣點: 3輪候人數:118人等候時間:<U+2B24>30分鐘類別: (B) 一般市民採樣站（需預約）",1,3,"118人","<U+2B24>30分鐘","B","聖若瑟教區中學第二校"
"28","B21","海星中學海星中學口採樣點: 3鼻採樣點: 2輪候人數:127人等候時間:<U+2B24>25分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"127人","<U+2B24>25分鐘","B","海星中學"
"29","B22","奧林匹克體育中心-運動場-室內體育館奧林匹克體育中心-運動場-室內體育館口採樣點: 3鼻採樣點: 1輪候人數:190人等候時間:<U+2B24>48分鐘類別: (B) 一般市民採樣站（需預約）",3,1,"190人","<U+2B24>48分鐘","B","奧林匹克體育中心-運動場-室內體育館"
"30","B23","嘉模會堂嘉模會堂口採樣點: 2鼻採樣點: 1輪候人數:130人等候時間:<U+2B24>43分鐘類別: (B) 一般市民採樣站（需預約）",2,1,"130人","<U+2B24>43分鐘","B","嘉模會堂"
