"","序號","地點","口採樣點","鼻採樣點","輪候人數","等候時間","類別","Location"
"1","A01","街坊會聯合總會社區服務大樓街坊會聯合總會社區服務大樓口採樣點: 4鼻採樣點: 2輪候人數:55人等候時間:<U+2B24>9分鐘類別: (A) 關愛專站（無需預約）",4,2,"55人","<U+2B24>9分鐘","A","街坊會聯合總會社區服務大樓"
"2","A02","慈幼中學慈幼中學口採樣點: 1鼻採樣點: 2輪候人數:66人等候時間:<U+2B24>22分鐘類別: (A) 關愛專站（無需預約）",1,2,"66人","<U+2B24>22分鐘","A","慈幼中學"
"3","A03","望廈體育中心三樓望廈體育中心三樓口採樣點: 2鼻採樣點: 1輪候人數:60人等候時間:<U+2B24>20分鐘類別: (A) 關愛專站（無需預約）",2,1,"60人","<U+2B24>20分鐘","A","望廈體育中心三樓"
"4","A04","塔石體育館B館塔石體育館B館口採樣點: 2鼻採樣點: 2輪候人數:43人等候時間:<U+2B24>11分鐘類別: (A) 關愛專站（無需預約）",2,2,"43人","<U+2B24>11分鐘","A","塔石體育館B館"
"5","A05","澳門坊眾學校澳門坊眾學校口採樣點: 3鼻採樣點: 3輪候人數:95人等候時間:<U+2B24>16分鐘類別: (A) 關愛專站（無需預約）",3,3,"95人","<U+2B24>16分鐘","A","澳門坊眾學校"
"6","A06","奧林匹克體育中心運動場乒乓球室奧林匹克體育中心運動場乒乓球室口採樣點: 1鼻採樣點: 1輪候人數:105人等候時間:<U+2B24>53分鐘類別: (A) 關愛專站（無需預約）",1,1,"105人","<U+2B24>53分鐘","A","奧林匹克體育中心運動場乒乓球室"
"7","A07","石排灣公立學校石排灣公立學校口採樣點: 2鼻採樣點: 2輪候人數:27人等候時間:<U+2B24>7分鐘類別: (A) 關愛專站（無需預約）",2,2,"27人","<U+2B24>7分鐘","A","石排灣公立學校"
"8","B01","聖若瑟教區中學第六校聖若瑟教區中學第六校口採樣點: 5鼻採樣點: 2輪候人數:100人等候時間:<U+2B24>14分鐘類別: (B) 一般市民採樣站（需預約）",5,2,"100人","<U+2B24>14分鐘","B","聖若瑟教區中學第六校"
"9","B02","青洲坊活動中心青洲坊活動中心口採樣點: 2鼻採樣點: 1輪候人數:110人等候時間:<U+2B24>37分鐘類別: (B) 一般市民採樣站（需預約）",2,1,"110人","<U+2B24>37分鐘","B","青洲坊活動中心"
"10","B03","鄭觀應公立學校鄭觀應公立學校口採樣點: 2鼻採樣點: 2輪候人數:80人等候時間:<U+2B24>20分鐘類別: (B) 一般市民採樣站（需預約）",2,2,"80人","<U+2B24>20分鐘","B","鄭觀應公立學校"
"11","B04","工人體育場工人體育場口採樣點: 4鼻採樣點: 4輪候人數:380人等候時間:<U+2B24>48分鐘類別: (B) 一般市民採樣站（需預約）",4,4,"380人","<U+2B24>48分鐘","B","工人體育場"
"12","B05","鏡平學校（中學部）鏡平學校（中學部）口採樣點: 6鼻採樣點: 6輪候人數:115人等候時間:<U+2B24>10分鐘類別: (B) 一般市民採樣站（需預約）",6,6,"115人","<U+2B24>10分鐘","B","鏡平學校（中學部）"
"13","B06","中葡職業技術學校體育館中葡職業技術學校體育館口採樣點: 8鼻採樣點: 3輪候人數:251人等候時間:<U+2B24>23分鐘類別: (B) 一般市民採樣站（需預約）",8,3,"251人","<U+2B24>23分鐘","B","中葡職業技術學校體育館"
"14","B07","健康生活教育園地健康生活教育園地口採樣點: 5鼻採樣點: 3輪候人數:230人等候時間:<U+2B24>29分鐘類別: (B) 一般市民採樣站（需預約）",5,3,"230人","<U+2B24>29分鐘","B","健康生活教育園地"
"15","B08","鮑思高粵華小學鮑思高粵華小學口採樣點: 4鼻採樣點: 4輪候人數:550人等候時間:<U+2B24>69分鐘類別: (B) 一般市民採樣站（需預約）",4,4,"550人","<U+2B24>69分鐘","B","鮑思高粵華小學"
"16","B09","望廈體育中心1樓望廈體育中心1樓口採樣點: 5鼻採樣點: 6輪候人數:200人等候時間:<U+2B24>18分鐘類別: (B) 一般市民採樣站（需預約）",5,6,"200人","<U+2B24>18分鐘","B","望廈體育中心1樓"
"17","B10","廣大中學 廣大中學 口採樣點: 3鼻採樣點: 2輪候人數:320人等候時間:<U+2B24>64分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"320人","<U+2B24>64分鐘","B","廣大中學"
"18","B11","勞校中學附屬幼稚園勞校中學附屬幼稚園口採樣點: 2鼻採樣點: 3輪候人數:140人等候時間:<U+2B24>28分鐘類別: (B) 一般市民採樣站（需預約）",2,3,"140人","<U+2B24>28分鐘","B","勞校中學附屬幼稚園"
"19","B12","婦女聯合總會綜合服務大樓婦女聯合總會綜合服務大樓口採樣點: 3鼻採樣點: 2輪候人數:100人等候時間:<U+2B24>20分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"100人","<U+2B24>20分鐘","B","婦女聯合總會綜合服務大樓"
"20","B13","鏡湖醫院禮堂鏡湖醫院禮堂口採樣點: 5鼻採樣點: 5輪候人數:90人等候時間:<U+2B24>9分鐘類別: (B) 一般市民採樣站（需預約）",5,5,"90人","<U+2B24>9分鐘","B","鏡湖醫院禮堂"
"21","B14","沙梨頭活動中心沙梨頭活動中心口採樣點: 5鼻採樣點: 2輪候人數:130人等候時間:<U+2B24>19分鐘類別: (B) 一般市民採樣站（需預約）",5,2,"130人","<U+2B24>19分鐘","B","沙梨頭活動中心"
"22","B15","培正中學培正中學口採樣點: 4鼻採樣點: 3輪候人數:150人等候時間:<U+2B24>21分鐘類別: (B) 一般市民採樣站（需預約）",4,3,"150人","<U+2B24>21分鐘","B","培正中學"
"23","B16","塔石體育館A館塔石體育館A館口採樣點: 5鼻採樣點: 4輪候人數:150人等候時間:<U+2B24>17分鐘類別: (B) 一般市民採樣站（需預約）",5,4,"150人","<U+2B24>17分鐘","B","塔石體育館A館"
"24","B17","澳門理工學院懷遠樓展覽廳澳門理工學院懷遠樓展覽廳口採樣點: 5鼻採樣點: 4輪候人數:258人等候時間:<U+2B24>29分鐘類別: (B) 一般市民採樣站（需預約）",5,4,"258人","<U+2B24>29分鐘","B","澳門理工學院懷遠樓展覽廳"
"25","B18","澳門文化中心澳門文化中心口採樣點: 7鼻採樣點: 3輪候人數:410人等候時間:<U+2B24>41分鐘類別: (B) 一般市民採樣站（需預約）",7,3,"410人","<U+2B24>41分鐘","B","澳門文化中心"
"26","B19","利瑪竇中學利瑪竇中學口採樣點: 3鼻採樣點: 3輪候人數:150人等候時間:<U+2B24>25分鐘類別: (B) 一般市民採樣站（需預約）",3,3,"150人","<U+2B24>25分鐘","B","利瑪竇中學"
"27","B20","聖若瑟教區中學第二校聖若瑟教區中學第二校口採樣點: 1鼻採樣點: 3輪候人數:155人等候時間:<U+2B24>39分鐘類別: (B) 一般市民採樣站（需預約）",1,3,"155人","<U+2B24>39分鐘","B","聖若瑟教區中學第二校"
"28","B21","海星中學海星中學口採樣點: 3鼻採樣點: 2輪候人數:160人等候時間:<U+2B24>32分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"160人","<U+2B24>32分鐘","B","海星中學"
"29","B22","奧林匹克體育中心-運動場-室內體育館奧林匹克體育中心-運動場-室內體育館口採樣點: 5鼻採樣點: 2輪候人數:200人等候時間:<U+2B24>29分鐘類別: (B) 一般市民採樣站（需預約）",5,2,"200人","<U+2B24>29分鐘","B","奧林匹克體育中心-運動場-室內體育館"
"30","B23","嘉模會堂嘉模會堂口採樣點: 2鼻採樣點: 2輪候人數:120人等候時間:<U+2B24>30分鐘類別: (B) 一般市民採樣站（需預約）",2,2,"120人","<U+2B24>30分鐘","B","嘉模會堂"
"31","B24","北安客運碼頭北安客運碼頭口採樣點: 6鼻採樣點: 6輪候人數:100人等候時間:<U+2B24>8分鐘類別: (B) 一般市民採樣站（需預約）",6,6,"100人","<U+2B24>8分鐘","B","北安客運碼頭"
"32","B25","教青局親職教育中心 (湖畔)教青局親職教育中心 (湖畔)口採樣點: 3鼻採樣點: 2輪候人數:275人等候時間:<U+2B24>55分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"275人","<U+2B24>55分鐘","B","教青局親職教育中心 (湖畔)"
"33","B26","澳門保安部隊高等學校澳門保安部隊高等學校口採樣點: 2鼻採樣點: 2輪候人數:100人等候時間:<U+2B24>25分鐘類別: (B) 一般市民採樣站（需預約）",2,2,"100人","<U+2B24>25分鐘","B","澳門保安部隊高等學校"
"34","B27","街總石排灣家庭及社區綜合服務中心街總石排灣家庭及社區綜合服務中心口採樣點: 3鼻採樣點: 2輪候人數:255人等候時間:<U+2B24>51分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"255人","<U+2B24>51分鐘","B","街總石排灣家庭及社區綜合服務中心"
"35","B28","澳門大學澳門大學口採樣點: 3鼻採樣點: 2輪候人數:70人等候時間:<U+2B24>14分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"70人","<U+2B24>14分鐘","B","澳門大學"
"36","B29","澳門威尼斯人澳門威尼斯人口採樣點: 11鼻採樣點: 4輪候人數:600人等候時間:<U+2B24>40分鐘類別: (B) 一般市民採樣站（需預約）",11,4,"600人","<U+2B24>40分鐘","B","澳門威尼斯人"
"37","B30","澳門東亞運體育館A館澳門東亞運體育館A館口採樣點: 6鼻採樣點: 4輪候人數:260人等候時間:<U+2B24>26分鐘類別: (B) 一般市民採樣站（需預約）",6,4,"260人","<U+2B24>26分鐘","B","澳門東亞運體育館A館"
"38","B31","科大體育館科大體育館口採樣點: 4鼻採樣點: 3輪候人數:220人等候時間:<U+2B24>31分鐘類別: (B) 一般市民採樣站（需預約）",4,3,"220人","<U+2B24>31分鐘","B","科大體育館"
"39","B32","綜藝館(免費)綜藝館(免費)口採樣點: 2鼻採樣點: 1輪候人數:76人等候時間:<U+2B24>25分鐘類別: (B) 一般市民採樣站（需預約）",2,1,"76人","<U+2B24>25分鐘","B","綜藝館(免費)"
"40","C01","綜藝館(自費)綜藝館(自費)口採樣點: 1鼻採樣點: 1輪候人數:45人等候時間:<U+2B24>23分鐘類別: (C) 自費採樣站（需預約，可上碼及提供紙本證明）",1,1,"45人","<U+2B24>23分鐘","C","綜藝館(自費)"
"41","C02","國檢（澳門）醫務中心國檢（澳門）醫務中心口採樣點: 2鼻採樣點: 3輪候人數:150人等候時間:<U+2B24>30分鐘類別: (C) 自費採樣站（需預約，可上碼及提供紙本證明）",2,3,"150人","<U+2B24>30分鐘","C","國檢（澳門）醫務中心"
