"","序號","地點","口採樣點","鼻採樣點","輪候人數","等候時間","類別","Location"
"1","A01","街坊會聯合總會社區服務大樓街坊會聯合總會社區服務大樓口採樣點: 3鼻採樣點: 3輪候人數:92人等候時間:<U+2B24>15分鐘類別: (A) 關愛專站（無需預約）",3,3,"92人","<U+2B24>15分鐘","A","街坊會聯合總會社區服務大樓"
"2","A02","慈幼中學慈幼中學口採樣點: 1鼻採樣點: 2輪候人數:92人等候時間:<U+2B24>31分鐘類別: (A) 關愛專站（無需預約）",1,2,"92人","<U+2B24>31分鐘","A","慈幼中學"
"3","A03","望廈體育中心三樓望廈體育中心三樓口採樣點: 2鼻採樣點: 1輪候人數:60人等候時間:<U+2B24>20分鐘類別: (A) 關愛專站（無需預約）",2,1,"60人","<U+2B24>20分鐘","A","望廈體育中心三樓"
"4","A04","塔石體育館B館塔石體育館B館口採樣點: 1鼻採樣點: 1輪候人數:47人等候時間:<U+2B24>24分鐘類別: (A) 關愛專站（無需預約）",1,1,"47人","<U+2B24>24分鐘","A","塔石體育館B館"
"5","A05","澳門坊眾學校澳門坊眾學校口採樣點: 3鼻採樣點: 3輪候人數:79人等候時間:<U+2B24>13分鐘類別: (A) 關愛專站（無需預約）",3,3,"79人","<U+2B24>13分鐘","A","澳門坊眾學校"
"6","A06","奧林匹克體育中心運動場乒乓球室奧林匹克體育中心運動場乒乓球室口採樣點: 2鼻採樣點: 1輪候人數:92人等候時間:<U+2B24>31分鐘類別: (A) 關愛專站（無需預約）",2,1,"92人","<U+2B24>31分鐘","A","奧林匹克體育中心運動場乒乓球室"
"7","A07","石排灣公立學校石排灣公立學校口採樣點: 2鼻採樣點: 2輪候人數:31人等候時間:<U+2B24>8分鐘類別: (A) 關愛專站（無需預約）",2,2,"31人","<U+2B24>8分鐘","A","石排灣公立學校"
"8","B01","聖若瑟教區中學第六校聖若瑟教區中學第六校口採樣點: 4鼻採樣點: 3輪候人數:130人等候時間:<U+2B24>19分鐘類別: (B) 一般市民採樣站（需預約）",4,3,"130人","<U+2B24>19分鐘","B","聖若瑟教區中學第六校"
"9","B02","青洲坊活動中心青洲坊活動中心口採樣點: 2鼻採樣點: 2輪候人數:76人等候時間:<U+2B24>19分鐘類別: (B) 一般市民採樣站（需預約）",2,2,"76人","<U+2B24>19分鐘","B","青洲坊活動中心"
"10","B03","鄭觀應公立學校鄭觀應公立學校口採樣點: 3鼻採樣點: 2輪候人數:15人等候時間:<U+2B24>3分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"15人","<U+2B24>3分鐘","B","鄭觀應公立學校"
"11","B04","工人體育場工人體育場口採樣點: 5鼻採樣點: 5輪候人數:198人等候時間:<U+2B24>20分鐘類別: (B) 一般市民採樣站（需預約）",5,5,"198人","<U+2B24>20分鐘","B","工人體育場"
"12","B05","鏡平學校（中學部）鏡平學校（中學部）口採樣點: 5鼻採樣點: 5輪候人數:215人等候時間:<U+2B24>22分鐘類別: (B) 一般市民採樣站（需預約）",5,5,"215人","<U+2B24>22分鐘","B","鏡平學校（中學部）"
"13","B06","中葡職業技術學校體育館中葡職業技術學校體育館口採樣點: 6鼻採樣點: 2輪候人數:172人等候時間:<U+2B24>22分鐘類別: (B) 一般市民採樣站（需預約）",6,2,"172人","<U+2B24>22分鐘","B","中葡職業技術學校體育館"
"14","B07","健康生活教育園地健康生活教育園地口採樣點: 4鼻採樣點: 3輪候人數:255人等候時間:<U+2B24>36分鐘類別: (B) 一般市民採樣站（需預約）",4,3,"255人","<U+2B24>36分鐘","B","健康生活教育園地"
"15","B08","鮑思高粵華小學鮑思高粵華小學口採樣點: 3鼻採樣點: 5輪候人數:232人等候時間:<U+2B24>29分鐘類別: (B) 一般市民採樣站（需預約）",3,5,"232人","<U+2B24>29分鐘","B","鮑思高粵華小學"
"16","B09","望廈體育中心1樓望廈體育中心1樓口採樣點: 5鼻採樣點: 5輪候人數:150人等候時間:<U+2B24>15分鐘類別: (B) 一般市民採樣站（需預約）",5,5,"150人","<U+2B24>15分鐘","B","望廈體育中心1樓"
"17","B10","廣大中學 廣大中學 口採樣點: 4鼻採樣點: 2輪候人數:85人等候時間:<U+2B24>14分鐘類別: (B) 一般市民採樣站（需預約）",4,2,"85人","<U+2B24>14分鐘","B","廣大中學"
