"","序號","地點","口採樣點","鼻採樣點","輪候人數","等候時間","類別","Location"
"1","A01","街坊會聯合總會社區服務大樓街坊會聯合總會社區服務大樓口採樣點: 3鼻採樣點: 3輪候人數:121人等候時間:<U+2B24>20分鐘類別: (A) 關愛專站（無需預約）",3,3,"121人","<U+2B24>20分鐘","A","街坊會聯合總會社區服務大樓"
"2","A02","慈幼中學慈幼中學口採樣點: 1鼻採樣點: 2輪候人數:57人等候時間:<U+2B24>19分鐘類別: (A) 關愛專站（無需預約）",1,2,"57人","<U+2B24>19分鐘","A","慈幼中學"
"3","A03","望廈體育中心三樓望廈體育中心三樓口採樣點: 2鼻採樣點: 1輪候人數:30人等候時間:<U+2B24>10分鐘類別: (A) 關愛專站（無需預約）",2,1,"30人","<U+2B24>10分鐘","A","望廈體育中心三樓"
"4","A04","塔石體育館B館塔石體育館B館口採樣點: 2鼻採樣點: 2輪候人數:43人等候時間:<U+2B24>11分鐘類別: (A) 關愛專站（無需預約）",2,2,"43人","<U+2B24>11分鐘","A","塔石體育館B館"
"5","A05","澳門坊眾學校澳門坊眾學校口採樣點: 3鼻採樣點: 3輪候人數:55人等候時間:<U+2B24>9分鐘類別: (A) 關愛專站（無需預約）",3,3,"55人","<U+2B24>9分鐘","A","澳門坊眾學校"
"6","A06","奧林匹克體育中心運動場乒乓球室奧林匹克體育中心運動場乒乓球室口採樣點: 1鼻採樣點: 1輪候人數:95人等候時間:<U+2B24>48分鐘類別: (A) 關愛專站（無需預約）",1,1,"95人","<U+2B24>48分鐘","A","奧林匹克體育中心運動場乒乓球室"
"7","A07","石排灣公立學校石排灣公立學校口採樣點: 1鼻採樣點: 2輪候人數:27人等候時間:<U+2B24>9分鐘類別: (A) 關愛專站（無需預約）",1,2,"27人","<U+2B24>9分鐘","A","石排灣公立學校"
"8","B01","聖若瑟教區中學第六校聖若瑟教區中學第六校口採樣點: 4鼻採樣點: 1輪候人數:120人等候時間:<U+2B24>24分鐘類別: (B) 一般市民採樣站（需預約）",4,1,"120人","<U+2B24>24分鐘","B","聖若瑟教區中學第六校"
"9","B02","青洲坊活動中心青洲坊活動中心口採樣點: 2鼻採樣點: 2輪候人數:99人等候時間:<U+2B24>25分鐘類別: (B) 一般市民採樣站（需預約）",2,2,"99人","<U+2B24>25分鐘","B","青洲坊活動中心"
"10","B03","鄭觀應公立學校鄭觀應公立學校口採樣點: 3鼻採樣點: 2輪候人數:105人等候時間:<U+2B24>21分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"105人","<U+2B24>21分鐘","B","鄭觀應公立學校"
"11","B04","工人體育場工人體育場口採樣點: 5鼻採樣點: 5輪候人數:102人等候時間:<U+2B24>10分鐘類別: (B) 一般市民採樣站（需預約）",5,5,"102人","<U+2B24>10分鐘","B","工人體育場"
"12","B05","鏡平學校（中學部）鏡平學校（中學部）口採樣點: 5鼻採樣點: 5輪候人數:130人等候時間:<U+2B24>13分鐘類別: (B) 一般市民採樣站（需預約）",5,5,"130人","<U+2B24>13分鐘","B","鏡平學校（中學部）"
"13","B06","中葡職業技術學校體育館中葡職業技術學校體育館口採樣點: 6鼻採樣點: 2輪候人數:203人等候時間:<U+2B24>25分鐘類別: (B) 一般市民採樣站（需預約）",6,2,"203人","<U+2B24>25分鐘","B","中葡職業技術學校體育館"
"14","B07","健康生活教育園地健康生活教育園地口採樣點: 3鼻採樣點: 3輪候人數:220人等候時間:<U+2B24>37分鐘類別: (B) 一般市民採樣站（需預約）",3,3,"220人","<U+2B24>37分鐘","B","健康生活教育園地"
"15","B08","鮑思高粵華小學鮑思高粵華小學口採樣點: 3鼻採樣點: 5輪候人數:257人等候時間:<U+2B24>32分鐘類別: (B) 一般市民採樣站（需預約）",3,5,"257人","<U+2B24>32分鐘","B","鮑思高粵華小學"
"16","B09","望廈體育中心1樓望廈體育中心1樓口採樣點: 5鼻採樣點: 5輪候人數:120人等候時間:<U+2B24>12分鐘類別: (B) 一般市民採樣站（需預約）",5,5,"120人","<U+2B24>12分鐘","B","望廈體育中心1樓"
"17","B10","廣大中學 廣大中學 口採樣點: 4鼻採樣點: 2輪候人數:110人等候時間:<U+2B24>18分鐘類別: (B) 一般市民採樣站（需預約）",4,2,"110人","<U+2B24>18分鐘","B","廣大中學"
"18","B11","勞校中學附屬幼稚園勞校中學附屬幼稚園口採樣點: 3鼻採樣點: 2輪候人數:160人等候時間:<U+2B24>32分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"160人","<U+2B24>32分鐘","B","勞校中學附屬幼稚園"
"19","B12","婦女聯合總會綜合服務大樓婦女聯合總會綜合服務大樓口採樣點: 1鼻採樣點: 2輪候人數:74人等候時間:<U+2B24>25分鐘類別: (B) 一般市民採樣站（需預約）",1,2,"74人","<U+2B24>25分鐘","B","婦女聯合總會綜合服務大樓"
"20","B13","鏡湖醫院禮堂鏡湖醫院禮堂口採樣點: 4鼻採樣點: 4輪候人數:30人等候時間:<U+2B24>4分鐘類別: (B) 一般市民採樣站（需預約）",4,4,"30人","<U+2B24>4分鐘","B","鏡湖醫院禮堂"
"21","B14","沙梨頭活動中心沙梨頭活動中心口採樣點: 3鼻採樣點: 4輪候人數:90人等候時間:<U+2B24>13分鐘類別: (B) 一般市民採樣站（需預約）",3,4,"90人","<U+2B24>13分鐘","B","沙梨頭活動中心"
"22","B15","培正中學培正中學口採樣點: 2鼻採樣點: 3輪候人數:230人等候時間:<U+2B24>46分鐘類別: (B) 一般市民採樣站（需預約）",2,3,"230人","<U+2B24>46分鐘","B","培正中學"
"23","B16","塔石體育館A館塔石體育館A館口採樣點: 3鼻採樣點: 3輪候人數:70人等候時間:<U+2B24>12分鐘類別: (B) 一般市民採樣站（需預約）",3,3,"70人","<U+2B24>12分鐘","B","塔石體育館A館"
"24","B17","澳門理工學院懷遠樓展覽廳澳門理工學院懷遠樓展覽廳口採樣點: 5鼻採樣點: 4輪候人數:160人等候時間:<U+2B24>18分鐘類別: (B) 一般市民採樣站（需預約）",5,4,"160人","<U+2B24>18分鐘","B","澳門理工學院懷遠樓展覽廳"
"25","B18","澳門文化中心澳門文化中心口採樣點: 6鼻採樣點: 6輪候人數:210人等候時間:<U+2B24>18分鐘類別: (B) 一般市民採樣站（需預約）",6,6,"210人","<U+2B24>18分鐘","B","澳門文化中心"
"26","B19","利瑪竇中學利瑪竇中學口採樣點: 4鼻採樣點: 4輪候人數:220人等候時間:<U+2B24>28分鐘類別: (B) 一般市民採樣站（需預約）",4,4,"220人","<U+2B24>28分鐘","B","利瑪竇中學"
"27","B20","聖若瑟教區中學第二校聖若瑟教區中學第二校口採樣點: 3鼻採樣點: 3輪候人數:40人等候時間:<U+2B24>7分鐘類別: (B) 一般市民採樣站（需預約）",3,3,"40人","<U+2B24>7分鐘","B","聖若瑟教區中學第二校"
