"","序號","地點","口採樣點","鼻採樣點","輪候人數","等候時間","類別","Location"
"1","A01","街坊會聯合總會社區服務大樓街坊會聯合總會社區服務大樓口採樣點: 2鼻採樣點: 2輪候人數:58人等候時間:<U+2B24>15分鐘類別: (A) 關愛專站（無需預約）",2,2,"58人","<U+2B24>15分鐘","A","街坊會聯合總會社區服務大樓"
"2","A02","慈幼中學慈幼中學口採樣點: 2鼻採樣點: 1輪候人數:51人等候時間:<U+2B24>17分鐘類別: (A) 關愛專站（無需預約）",2,1,"51人","<U+2B24>17分鐘","A","慈幼中學"
"3","A03","望廈體育中心三樓望廈體育中心三樓口採樣點: 2鼻採樣點: 1輪候人數:80人等候時間:<U+2B24>27分鐘類別: (A) 關愛專站（無需預約）",2,1,"80人","<U+2B24>27分鐘","A","望廈體育中心三樓"
"4","A04","塔石體育館B館塔石體育館B館口採樣點: 1鼻採樣點: 2輪候人數:94人等候時間:<U+2B24>31分鐘類別: (A) 關愛專站（無需預約）",1,2,"94人","<U+2B24>31分鐘","A","塔石體育館B館"
"5","A05","澳門坊眾學校澳門坊眾學校口採樣點: 3鼻採樣點: 3輪候人數:63人等候時間:<U+2B24>11分鐘類別: (A) 關愛專站（無需預約）",3,3,"63人","<U+2B24>11分鐘","A","澳門坊眾學校"
"6","A06","奧林匹克體育中心運動場乒乓球室奧林匹克體育中心運動場乒乓球室口採樣點: 1鼻採樣點: 1輪候人數:40人等候時間:<U+2B24>20分鐘類別: (A) 關愛專站（無需預約）",1,1,"40人","<U+2B24>20分鐘","A","奧林匹克體育中心運動場乒乓球室"
"7","A07","石排灣公立學校石排灣公立學校口採樣點: 1鼻採樣點: 2輪候人數:11人等候時間:<U+2B24>4分鐘類別: (A) 關愛專站（無需預約）",1,2,"11人","<U+2B24>4分鐘","A","石排灣公立學校"
"8","B01","聖若瑟教區中學第六校聖若瑟教區中學第六校口採樣點: 4鼻採樣點: 2輪候人數:100人等候時間:<U+2B24>17分鐘類別: (B) 一般市民採樣站（需預約）",4,2,"100人","<U+2B24>17分鐘","B","聖若瑟教區中學第六校"
"9","B02","青洲坊活動中心青洲坊活動中心口採樣點: 2鼻採樣點: 2輪候人數:87人等候時間:<U+2B24>22分鐘類別: (B) 一般市民採樣站（需預約）",2,2,"87人","<U+2B24>22分鐘","B","青洲坊活動中心"
"10","B03","鄭觀應公立學校鄭觀應公立學校口採樣點: 2鼻採樣點: 1輪候人數:75人等候時間:<U+2B24>25分鐘類別: (B) 一般市民採樣站（需預約）",2,1,"75人","<U+2B24>25分鐘","B","鄭觀應公立學校"
"11","B04","工人體育場工人體育場口採樣點: 5鼻採樣點: 5輪候人數:109人等候時間:<U+2B24>11分鐘類別: (B) 一般市民採樣站（需預約）",5,5,"109人","<U+2B24>11分鐘","B","工人體育場"
"12","B05","鏡平學校（中學部）鏡平學校（中學部）口採樣點: 5鼻採樣點: 4輪候人數:142人等候時間:<U+2B24>16分鐘類別: (B) 一般市民採樣站（需預約）",5,4,"142人","<U+2B24>16分鐘","B","鏡平學校（中學部）"
"13","B06","中葡職業技術學校體育館中葡職業技術學校體育館口採樣點: 4鼻採樣點: 3輪候人數:181人等候時間:<U+2B24>26分鐘類別: (B) 一般市民採樣站（需預約）",4,3,"181人","<U+2B24>26分鐘","B","中葡職業技術學校體育館"
"14","B07","健康生活教育園地健康生活教育園地口採樣點: 3鼻採樣點: 2輪候人數:190人等候時間:<U+2B24>38分鐘類別: (B) 一般市民採樣站（需預約）",3,2,"190人","<U+2B24>38分鐘","B","健康生活教育園地"
